herd,cow,tx,lact,thin,dar,preg
2,82,1,1,0,3,1
2,83,1,1,1,3,1
2,84,1,2,0,3,1
2,85,1,1,0,3,1
2,86,1,5,0,3,1
2,87,1,1,0,3,1
2,88,1,5,1,3,1
2,89,1,1,0,3,1
2,90,1,2,0,3,1
2,91,0,1,0,6,1
2,92,0,6,1,6,1
2,93,1,1,0,6,1
2,94,0,4,0,8,1
2,95,0,1,1,8,1
2,96,0,5,0,12,1
2,97,0,5,0,15,0
2,98,0,5,1,15,1
2,99,0,1,0,16,0
2,100,0,1,0,17,1
2,101,0,1,1,19,1
2,102,0,1,1,20,1
2,103,0,1,0,23,1
2,104,0,1,0,24,1
2,105,0,5,1,24,1
2,106,1,1,1,28,1
2,107,1,4,0,28,1
2,108,1,1,0,30,1
2,109,0,5,1,32,0
2,110,1,4,1,32,1
2,111,1,6,1,32,1
2,112,0,4,0,35,1
2,113,1,4,0,38,1
2,114,1,3,1,41,1
2,115,0,1,1,44,1
2,116,1,2,1,44,1
2,117,1,2,0,46,0
2,118,0,5,1,47,1
2,119,0,2,0,48,1
2,120,1,2,0,49,1
2,121,1,1,0,50,1
2,122,0,1,0,50,1
2,123,0,4,1,52,1
2,124,1,2,1,53,1
2,125,0,2,0,54,1
2,126,1,3,1,58,0
2,127,0,2,0,58,0
2,128,0,5,1,60,0
2,129,0,5,1,63,1
2,130,0,1,0,64,1
2,131,1,1,0,66,1
2,132,0,3,0,66,1
2,133,0,1,0,69,1
2,134,0,1,1,69,1
2,135,0,7,0,70,1
2,136,0,2,0,70,1
2,137,0,5,0,70,1
2,138,0,1,0,70,1
2,139,1,1,0,72,1
2,140,0,4,1,78,1
2,141,0,1,0,79,1
2,142,1,5,0,79,1
2,143,1,1,0,80,0
2,144,0,2,1,81,1
2,145,0,7,1,82,1
2,146,0,7,0,85,1
2,147,0,1,0,88,1
2,148,1,1,0,88,1
2,149,1,2,1,90,0
2,150,1,4,1,92,1
2,151,0,2,1,94,0
2,152,0,1,1,96,0
2,153,1,1,0,100,1
2,154,1,1,0,102,1
2,155,1,4,1,102,1
2,156,0,3,1,105,1
2,157,1,1,0,108,1
2,158,1,4,0,112,1
2,159,0,1,0,116,1
2,160,1,6,1,118,1
2,161,0,4,1,131,1
2,162,1,1,1,132,1
2,163,0,2,1,135,1
2,164,1,1,0,138,1
2,165,0,2,1,156,1
2,166,1,4,0,158,0
2,167,0,2,0,159,1
2,168,0,2,0,160,1
2,169,1,4,1,166,1
2,170,0,1,0,169,0
2,171,0,6,0,169,0
2,172,0,6,1,178,0
2,173,1,2,0,186,1
2,174,1,4,1,186,0
2,175,1,4,0,189,0
2,176,1,2,1,190,0
2,177,0,4,1,192,0
2,178,1,4,1,196,0
2,179,1,1,1,196,0
2,180,1,2,0,201,0
2,181,0,4,1,202,0
2,182,0,1,0,215,0
2,183,1,2,0,229,1
2,184,1,2,0,250,0
2,185,1,4,1,257,1
2,186,0,1,1,272,1
2,187,1,3,1,288,0
2,188,1,1,1,300,1
2,189,0,1,0,346,0
3,190,1,1,1,3,1
3,191,1,7,1,3,1
3,192,1,3,1,3,1
3,193,1,5,1,3,1
3,194,1,1,1,3,1
3,195,1,5,1,3,1
3,196,0,1,0,3,1
3,197,1,1,1,3,1
3,198,1,4,1,3,1
3,199,1,2,1,3,1
3,200,1,2,1,3,0
3,201,1,1,0,3,1
3,202,1,6,1,3,1
3,203,1,1,1,3,1
3,204,1,3,0,3,1
3,205,1,1,0,3,1
3,206,1,2,1,4,1
3,207,1,2,1,4,1
3,208,0,2,1,5,1
3,209,1,1,1,5,1
3,210,1,1,1,6,1
3,211,0,6,1,6,1
3,212,0,1,1,7,1
3,213,1,3,1,8,1
3,214,0,1,1,9,1
3,215,0,1,0,11,1
3,216,0,5,1,11,1
3,217,0,1,0,12,1
3,218,0,2,1,13,1
3,219,0,2,1,14,1
3,220,0,1,1,14,1
3,221,0,3,1,15,1
3,222,1,1,0,16,1
3,223,0,4,1,18,1
3,224,0,2,0,21,1
3,225,0,2,1,22,1
3,226,0,2,1,23,1
3,227,0,1,1,23,1
3,228,1,3,1,24,1
3,229,1,1,1,25,1
3,230,1,2,1,26,1
3,231,0,2,1,26,1
3,232,0,1,0,26,1
3,233,1,1,1,26,1
3,234,1,2,1,27,1
3,235,0,1,0,27,1
3,236,0,3,1,28,1
3,237,0,1,1,28,1
3,238,1,1,0,30,1
3,239,1,1,1,31,1
3,240,0,2,1,31,1
3,241,1,3,1,32,0
3,242,1,2,0,32,1
3,243,0,4,1,32,1
3,244,0,4,1,33,1
3,245,0,2,1,34,1
3,246,0,1,1,37,1
3,247,1,1,0,40,1
3,248,0,1,0,40,1
3,249,1,1,0,42,0
3,250,0,1,1,43,1
3,251,0,1,1,43,1
3,252,1,6,1,44,1
3,253,0,6,0,49,1
3,254,1,2,0,49,1
3,255,1,2,1,50,1
3,256,0,3,1,50,1
3,257,1,2,1,50,1
3,258,1,4,1,51,0
3,259,1,1,1,53,1
3,260,0,1,0,54,0
3,261,0,2,0,54,1
3,262,0,2,1,55,1
3,263,0,4,1,56,1
3,264,0,1,0,59,1
3,265,0,1,1,62,1
3,266,0,5,1,67,1
3,267,0,1,1,68,1
3,268,0,2,1,68,1
3,269,0,3,0,68,1
3,270,0,4,1,70,0
3,271,1,1,0,70,1
3,272,0,1,1,70,1
3,273,1,1,1,71,1
3,274,1,2,1,75,1
3,275,0,4,1,76,1
3,276,1,4,1,77,1
3,277,1,1,1,77,1
3,278,1,1,1,84,1
3,279,1,2,1,87,1
3,280,0,2,0,90,1
3,281,1,4,1,91,1
3,282,1,3,1,91,1
3,283,0,1,1,99,1
3,284,0,1,0,99,1
3,285,1,2,1,99,1
3,286,0,1,0,105,1
3,287,0,2,1,105,0
3,288,0,1,0,106,1
3,289,0,1,0,106,1
3,290,1,1,1,109,1
3,291,0,1,1,110,1
3,292,1,1,0,127,1
3,293,0,1,1,129,1
3,294,0,2,1,129,0
3,295,1,1,1,129,1
3,296,0,2,1,133,1
3,297,0,1,1,134,1
3,298,0,2,0,135,1
3,299,0,4,1,142,1
3,300,0,2,1,145,1
3,301,0,1,1,145,0
3,302,1,7,1,153,1
3,303,1,6,1,154,1
3,304,1,3,1,155,1
3,305,1,2,1,157,0
3,306,1,3,1,158,1
3,307,1,1,0,167,1
3,308,0,1,0,168,1
3,309,1,1,0,170,1
3,310,0,5,1,178,0
3,311,0,4,1,185,0
3,312,0,3,1,190,1
3,313,0,2,0,196,1
3,314,0,5,1,218,1
3,315,0,1,1,222,1
3,316,1,2,1,233,1
3,317,0,3,1,246,1
3,318,0,1,1,262,0
3,319,0,2,1,262,0
3,320,0,4,1,287,0
3,321,0,2,1,288,0
3,322,0,3,1,308,0
3,323,0,2,1,320,0
