clinic,dog,age,rad,chemo,died,months
2,45,4.482657433,1,1,1,45.45747375
4,46,6.883234024,1,1,1,28.64382172
5,47,11.6544981,1,1,1,15.36457348
6,48,3.157955647,0,1,1,3.900691509
2,49,9.327949524,1,1,0,20.92406845
1,50,5.548844337,1,1,1,37.87621307
2,51,9.053384781,0,1,0,18.94906616
3,52,8.916605949,0,1,1,7.295260429
3,53,6.421483517,1,1,1,8.118673325
1,54,6.109755993,0,1,0,11.45647335
1,55,5.540877342,1,1,0,17.41785812
1,56,7.969556808,1,0,1,5.806304932
2,57,8.922164917,0,0,0,13.23588276
7,58,7.427134037,1,1,1,30.2039814
3,59,6.352894306,1,0,1,10.72202587
1,60,8.636879921,0,1,1,4.346139431
4,61,7.94396925,0,1,1,17.21398354
7,62,3.248015881,0,1,0,21.28196907
6,63,9.474848747,0,1,1,11.06884575
7,64,7.103191853,1,0,1,20.10581398
6,65,6.035841465,0,1,1,22.61045837
4,66,2.843461037,0,1,0,10.27166653
6,67,10.81655216,1,1,1,26.59069633
4,68,10.6205349,0,1,1,21.58356285
1,69,5.97281599,0,0,0,5.030490875
4,70,7.720042706,0,1,0,15.19181633
1,71,10.65324497,0,1,1,1.864129782
3,72,3.519938946,0,0,1,13.22697449
5,73,4.156085014,0,1,0,18.88269997
1,74,10.40660095,1,1,1,2.003440857
4,75,7.03745079,1,0,1,8.951249123
7,76,3.08731842,0,0,0,10.73813152
4,77,9.196532249,0,0,1,18.63236046
1,78,5.244346142,1,1,1,20.83871269
5,79,7.561363697,1,1,1,13.94513702
5,80,5.224568844,1,1,1,17.27242851
6,81,7.403196335,1,0,1,14.44271564
3,82,10.29158783,1,0,1,0.708610058
2,83,8.97543335,1,1,0,22.40061188
6,84,3.538413286,1,1,1,41.99236298
2,85,10.39980316,1,1,1,15.28128052
1,86,10.79602814,0,1,0,0.650090814
2,87,10.76319504,1,0,1,4.009544373
5,88,10.48365307,1,0,1,13.87608528
4,89,6.608843327,1,1,1,30.80910492
7,90,8.706557274,0,1,1,15.62179947
1,91,14.39865589,1,1,1,10.30775642
4,92,10.75204277,0,0,1,8.23823452
4,93,12.38494778,0,1,1,8.637989044
1,94,6.173961639,1,1,1,16.16066742
7,95,4.645124912,0,1,0,19.23038673
5,96,4.077908516,0,1,1,16.0602951
5,97,9.175011635,1,1,1,18.65247345
7,98,7.690862656,0,0,1,12.97849083
6,99,5.079892159,1,0,1,10.24721146
5,100,4.377185345,0,0,1,3.455887079
1,101,11.69125938,0,0,1,11.61220455
5,102,5.863223076,1,0,1,12.62615585
7,103,6.54767561,1,0,1,14.56698513
5,104,7.982673168,0,1,1,14.86508369
2,105,5.058103085,1,1,1,24.2234745
7,106,10.76684761,1,1,1,39.1154747
2,107,9.917287827,0,0,1,1.88092339
7,108,6.892654896,1,0,1,5.175531387
3,109,6.354717731,0,0,0,7.535917282
1,110,3.154526234,1,0,0,5.826085091
3,111,4.006500721,1,0,1,12.0394392
2,112,10.23285484,0,1,0,19.62489319
4,113,3.307271242,1,0,1,10.92805672
3,114,4.682155132,1,0,1,16.14084435
6,115,7.486473083,1,1,0,4.504465103
4,116,5.770446777,1,0,1,14.74837685
4,117,6.181473732,1,1,1,16.27083969
2,118,7.998217106,0,0,1,2.497026682
3,119,5.899071217,1,0,1,8.926354408
5,120,6.895255089,1,0,1,17.69528389
6,121,6.74889183,1,1,0,26.58555412
5,122,5.280034065,1,1,1,30.19642639
1,123,5.488899231,0,0,1,14.6547699
4,124,9.74040699,0,0,0,3.473715305
5,125,7.31317091,1,0,1,10.6788559
1,126,3.809167862,0,0,0,14.92714405
2,127,6.394779205,0,0,1,6.91947937
3,128,3.637460947,0,1,1,17.07134628
6,129,9.259566307,1,0,0,11.07523727
3,130,6.426179886,1,0,1,9.180902481
5,131,8.706633568,0,0,1,8.319581985
3,132,8.108393669,0,0,0,13.17360687
2,133,9.602554321,0,0,1,11.07321739
5,134,8.092226028,0,0,1,7.294527531
6,135,11.23066521,0,1,1,12.43565845
6,136,4.439201355,0,0,1,14.94938374
3,137,8.202420235,1,1,1,20.86183167
4,138,11.32912254,1,1,1,16.90330124
5,139,3.530141115,1,0,0,12.61080837
5,140,10.75893497,1,1,1,8.23815918
5,141,7.304088116,1,0,0,13.69972897
3,142,5.773071289,0,0,1,6.441243649
2,143,12.55125904,0,1,1,10.54333401
5,144,6.809701443,1,0,1,8.390061378
4,145,10.2531147,0,1,0,18.58584213
7,146,7.1864748,0,0,0,10.01004982
6,147,7.171316624,1,1,1,25.667202
6,148,5.102769375,1,0,1,6.517073631
7,149,2.992439985,1,0,0,24.54845238
6,150,7.313146591,1,1,1,23.51119232
4,151,5.871426105,0,0,1,15.13249207
7,152,10.43397427,1,1,1,14.07261086
2,153,3.937447071,1,1,1,26.84480858
6,154,11.13973713,0,0,1,11.78868294
7,155,6.301692009,1,1,1,27.88175774
1,156,6.334088802,1,0,1,9.903663635
6,157,6.124363422,1,1,1,21.31798553
4,158,10.9081049,1,0,1,7.272696018
2,159,7.723461628,0,0,0,10.29999828
2,160,6.890565872,1,0,1,6.271520138
2,161,7.980325699,1,1,0,2.862434864
6,162,4.943740845,0,0,0,10.67146111
6,163,6.432500839,1,1,1,13.14672089
4,164,9.804365158,1,0,1,14.31827545
7,165,3.124159813,1,1,1,4.830997944
4,166,4.697274685,1,1,0,15.99648571
3,167,8.987342834,0,1,1,11.79785919
1,168,5.939356327,0,1,1,19.27629089
1,169,5.120873451,0,1,1,26.39187241
6,170,4.583055496,0,0,1,6.906944275
4,171,6.707335472,1,1,1,18.7648716
7,172,8.670748711,1,0,0,11.27751541
4,173,3.498202085,0,1,1,11.14511871
4,174,2.362285614,1,1,1,16.52188492
7,175,11.87004852,1,1,1,20.26382637
5,176,7.858264446,1,1,0,23.75668716
4,177,3.301053524,0,1,1,3.98912859
5,178,2.286349773,0,0,0,12.10807133
3,179,6.646036148,1,1,1,36.95938492
3,180,9.70710659,0,1,1,16.21776581
2,181,6.86794281,0,1,1,14.19246387
1,182,2.991799593,0,0,1,7.523297787
5,183,7.795449734,0,0,0,12.11226273
3,184,4.734720707,0,0,0,9.565756798
2,185,3.946883202,0,0,0,15.06070328
5,186,3.30527854,0,1,1,13.52906227
7,187,7.558834076,1,0,1,0.631302118
7,188,9.687996864,1,1,1,21.48528099
1,189,5.017997265,0,0,0,12.85757446
5,190,3.656267405,0,1,0,18.72372055
3,191,11.4982214,0,1,1,13.79893494
1,192,3.718090057,1,0,0,2.392401457
3,193,8.955472946,0,1,1,13.75040054
3,194,2.924415588,0,1,0,14.59918594
4,195,3.735941887,1,1,0,22.35282326
2,196,12.06886387,1,0,0,3.352511883
4,197,3.636465549,0,0,0,4.050549984
4,198,3.19663763,0,1,1,5.89868927
6,199,11.2593708,0,0,1,1.412336111
2,200,8.369198799,0,1,1,12.79460239
4,201,9.483232498,1,0,0,12.79323292
5,202,6.789792061,0,1,1,13.89812088
1,203,5.905292034,1,1,1,21.17624283
1,204,7.73827076,1,0,0,6.869220734
2,205,12.69355583,0,0,1,0.737285614
2,206,8.100384712,1,1,1,27.27150917
5,207,6.079939365,1,0,1,7.913611412
5,208,5.345727921,1,1,1,23.89729881
6,209,4.510353565,1,1,1,21.50394821
6,210,9.862531662,0,0,0,5.908194065
5,211,4.591210842,1,1,1,39.39699554
4,212,7.843726635,0,0,1,0.254676819
4,213,6.000474453,1,0,0,10.83804703
2,214,10.07721806,0,0,1,16.00461388
7,215,7.164954662,1,1,1,21.76874352
7,216,4.75694561,1,0,1,11.99065781
4,217,12.75150967,1,0,0,14.75178337
7,218,3.022185326,1,0,0,17.3312912
5,219,4.805813313,0,1,1,26.89083481
5,220,6.033360004,0,0,0,3.072374582
2,221,4.197384357,0,1,1,17.91188622
4,222,12.05533791,0,1,1,3.212480068
5,223,5.646190643,1,0,1,7.820713997
3,224,7.73086071,1,0,1,11.05450249
1,225,8.799142838,0,1,1,12.42875576
7,226,10.83072567,1,1,1,3.148165464
4,227,2.179706097,1,1,1,12.46187878
3,228,5.114169121,0,1,1,16.60539246
3,229,10.40326405,0,0,1,4.894351006
5,230,2.475314856,0,1,0,16.22820282
1,231,10.00080204,1,1,1,19.26577377
7,232,5.947974682,0,0,0,22.58189392
6,233,6.015402317,0,1,1,15.37915611
6,234,5.347288609,0,1,1,29.53308105
1,235,8.438225746,0,0,1,10.50792313
5,236,12.06597614,1,1,0,17.16606522
3,237,10.90121937,0,1,1,12.87640381
2,238,6.032141685,1,0,1,1.374362469
2,239,5.223911285,0,0,0,2.776389837
6,240,7.852814674,0,1,1,16.45664406
1,241,8.405460358,1,0,1,3.199314117
4,242,4.442487717,0,0,0,9.704880714
3,243,5.614994526,0,0,0,23.42667961
1,244,7.428460121,0,0,1,3.70368576
5,245,3.311531305,0,0,1,10.16989899
6,246,9.623973846,1,1,0,17.42702484
1,247,7.904301167,1,0,1,4.990299225
1,248,2.689298153,0,1,1,13.10971642
6,249,8.765925407,0,0,0,10.7895546
7,250,9.743537903,1,1,0,15.93269444
5,251,11.60431671,0,0,1,7.961761475
7,252,6.481209278,1,0,0,7.565584183
6,253,5.024887085,1,1,1,18.15787888
5,254,9.780958176,1,1,1,15.19929218
6,255,9.683152199,1,1,1,30.20889854
3,256,6.232082367,1,0,1,15.33275986
7,257,1.546485901,0,1,1,22.94900322
4,258,6.9219203,1,1,1,16.17121124
1,259,7.033724785,1,1,1,17.74429131
7,260,8.64480114,0,1,1,27.17482758
3,261,7.416726112,0,1,0,19.70714569
6,262,5.68598175,0,1,1,18.91569901
2,263,12.95171452,1,1,1,3.615849733
1,264,7.341305733,0,1,1,26.57300377
5,265,12.85994148,0,0,1,11.36194992
1,266,5.870214462,1,1,1,14.68478203
3,267,9.124740601,1,1,1,16.90470123
6,268,11.1973238,0,0,1,10.91200638
2,269,5.418072701,1,0,1,6.951004505
6,270,10.4449873,0,0,1,7.508488178
7,271,13.46407223,1,0,1,4.220748901
4,272,7.320306301,0,0,1,4.911939621
5,273,6.115077019,0,1,0,19.43533707
4,274,9.286589622,0,1,1,7.441168308
4,275,4.189461708,0,1,0,17.8711853
5,276,10.48748398,0,1,1,9.48651123
7,277,7.20102644,0,1,1,23.36317253
5,278,3.324387312,0,1,1,13.7971983
7,279,8.42560482,0,1,1,27.54754829
4,280,3.445108175,1,1,1,27.46517754
4,281,4.076467514,1,1,1,16.95574188
1,282,7.797334194,1,1,0,23.5795784
7,283,10.081357,0,1,0,4.196042061
1,284,6.407151222,0,0,1,17.26730728
3,285,4.253777981,0,1,0,25.18196678
1,286,9.284262657,1,1,1,23.61885071
7,287,11.09146976,0,1,0,25.07497787
2,288,6.644530296,1,0,1,16.14193153
7,289,4.739346027,1,0,1,11.71367836
7,290,3.389546156,1,1,0,28.97771454
3,291,7.516328812,0,0,0,3.790051937
4,292,3.299070358,1,1,1,8.37187767
4,293,2.671878576,1,0,1,14.24543953
5,294,1.413724422,0,1,1,17.15320015
7,295,5.34321022,1,0,1,8.602903366
4,296,1.872897148,0,1,0,30.56479645
4,297,6.828236103,0,1,0,12.20745182
3,298,6.122933388,0,1,1,11.69080162
3,299,9.820702553,0,0,1,13.26215363
3,300,9.880405426,1,0,1,12.91118908
