Id,Paper,DOI,Species,Year,Country,Sites,Experimental.design,Repetitions,Treatment,Nrates_kg_ha,Sowing.Date,Harvest_Date,Row_Space,Water,Water_applied,Genotype,W_ton_ha,Nupt_kg_ha,Nobs%,Npred%,W_LSD,W_CV,W_SE_min,W_SE_Max,Nconc_LSD,Nconc_SE_min,Nconc_SE_Max,Nupt_SE_min,Nupt_SE_Max,Sampling_time,Observation
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N3,150,3-Mar,,,,,Grasslands Tama,2.639722,,3.25,3.25,0,,0,0,,,,,,t3,9/22/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N4,200,3-Mar,,,,,Grasslands Tama,2.899579,,3.59,3.59,0,,0,0,,,,,,t3,9/22/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N5,250,3-Mar,,,,,Grasslands Tama,2.775372,,4.23,4.23,0,,0,0,,,,,,t3,9/22/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N0 ,0,3-Mar,,,,,Grasslands Tama,1.523097,,1.85,1.85,0,,0,0,,,,,,t4,10/1/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N1,50,3-Mar,,,,,Grasslands Tama,2.346543,,1.94,1.94,0,,0,0,,,,,,t4,10/1/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N2,100,3-Mar,,,,,Grasslands Tama,3.970757,,2.15,2.15,0,,0,0,,,,,,t4,10/1/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N3,150,3-Mar,,,,,Grasslands Tama,3.836303,,3,3,0,,0,0,,,,,,t4,10/1/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N4,200,3-Mar,,,,,Grasslands Tama,3.809107,,3.22,3.22,0,,0,0,,,,,,t4,10/1/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N5,250,3-Mar,,,,,Grasslands Tama,3.543543,,3.46,3.46,0,,0,0,,,,,,t4,10/1/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N0 ,0,3-Mar,,,,,Grasslands Tama,1.330187,,1.34,1.34,0,,0,0,,,,,,t5,10/11/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N1,50,3-Mar,,,,,Grasslands Tama,3.37018,,1.93,1.93,0,,0,0,,,,,,t5,10/11/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N2,100,3-Mar,,,,,Grasslands Tama,4.599393,,1.71,1.71,0,,0,0,,,,,,t5,10/11/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N3,150,3-Mar,,,,,Grasslands Tama,4.95842,,2.4,2.4,0,,0,0,,,,,,t5,10/11/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N4,200,3-Mar,,,,,Grasslands Tama,4.48645,,2.63,2.63,0,,0,0,,,,,,t5,10/11/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N5,250,3-Mar,,,,,Grasslands Tama,5.254017,,2.61,2.61,0,,0,0,,,,,,t5,10/11/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N0 ,0,3-Mar,,,,,Grasslands Tama,2.516007,,1.3,1.3,0,,0,0,,,,,,t6,10/17/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N1,50,3-Mar,,,,,Grasslands Tama,4.647513,,1.41,1.41,0,,0,0,,,,,,t6,10/17/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N2,100,3-Mar,,,,,Grasslands Tama,6.328627,,2.07,2.07,0,,0,0,,,,,,t6,10/17/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N3,150,3-Mar,,,,,Grasslands Tama,6.605583,,2.02,2.02,0,,0,0,,,,,,t6,10/17/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N4,200,3-Mar,,,,,Grasslands Tama,5.842633,,2.82,2.82,0,,0,0,,,,,,t6,10/17/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1994,Argentina,Tandil,Split-plot in randomized complete block,3,N5,250,3-Mar,,,,,Grasslands Tama,6.83962,,2.86,2.86,0,,0,0,,,,,,t6,10/17/94
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,14-Mar,,,,,Grasslands Tama,0.500934805,,1.43,1.43,0,,0,0,,,,,,t1,9/7/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,14-Mar,,,,,Grasslands Tama,0.94148257,,2.16,2.16,0,,0,0,,,,,,t1,9/7/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,14-Mar,,,,,Grasslands Tama,1.40519028,,3.335,3.335,0,,0,0,,,,,,t1,9/7/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,14-Mar,,,,,Grasslands Tama,1.474989404,,3.315,3.315,0,,0,0,,,,,,t1,9/7/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N4,200,14-Mar,,,,,Grasslands Tama,1.599021677,,3.965,3.965,0,,0,0,,,,,,t1,9/7/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,14-Mar,,,,,Grasslands Tama,1.786277991,,3.91,3.91,0,,0,0,,,,,,t1,9/7/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,14-Mar,,,,,Grasslands Tama,1.046883321,,1.615,1.615,0,,0,0,,,,,,t2,9/20/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,14-Mar,,,,,Grasslands Tama,1.727123001,,2.225,2.225,0,,0,0,,,,,,t2,9/20/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,14-Mar,,,,,Grasslands Tama,2.652349441,,2.65,2.65,0,,0,0,,,,,,t2,9/20/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,14-Mar,,,,,Grasslands Tama,2.791183416,,3.33,3.33,0,,0,0,,,,,,t2,9/20/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N4,200,14-Mar,,,,,Grasslands Tama,2.98730555,,3.805,3.805,0,,0,0,,,,,,t2,9/20/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,14-Mar,,,,,Grasslands Tama,3.061503196,,3.72,3.72,0,,0,0,,,,,,t2,9/20/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,14-Mar,,,,,Grasslands Tama,1.192479907,,1.205,1.205,0,,0,0,,,,,,t3,9/25/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,14-Mar,,,,,Grasslands Tama,2.286880875,,1.395,1.395,0,,0,0,,,,,,t3,9/25/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,14-Mar,,,,,Grasslands Tama,3.048693733,,1.73,1.73,0,,0,0,,,,,,t3,9/25/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,14-Mar,,,,,Grasslands Tama,3.553551181,,2.635,2.635,0,,0,0,,,,,,t3,9/25/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N4,200,14-Mar,,,,,Grasslands Tama,3.741887213,,3.08,3.08,0,,0,0,,,,,,t3,9/25/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,14-Mar,,,,,Grasslands Tama,4.030663837,,3.63,3.63,0,,0,0,,,,,,t3,9/25/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,14-Mar,,,,,Grasslands Tama,1.360505286,,1.225,1.225,0,,0,0,,,,,,t4,10/2/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,14-Mar,,,,,Grasslands Tama,2.767828969,,1.335,1.335,0,,0,0,,,,,,t4,10/2/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,14-Mar,,,,,Grasslands Tama,3.559556201,,1.97,1.97,0,,0,0,,,,,,t4,10/2/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,14-Mar,,,,,Grasslands Tama,4.03749563,,2.465,2.465,0,,0,0,,,,,,t4,10/2/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N4,200,14-Mar,,,,,Grasslands Tama,4.296644244,,2.945,2.945,0,,0,0,,,,,,t4,10/2/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,14-Mar,,,,,Grasslands Tama,4.665721511,,3.735,3.735,0,,0,0,,,,,,t4,10/2/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,14-Mar,,,,,Grasslands Tama,1.404020766,,1.13,1.13,0,,0,0,,,,,,t5,10/9/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,14-Mar,,,,,Grasslands Tama,3.027575563,,1.485,1.485,0,,0,0,,,,,,t5,10/9/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,14-Mar,,,,,Grasslands Tama,4.177357119,,1.345,1.345,0,,0,0,,,,,,t5,10/9/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,14-Mar,,,,,Grasslands Tama,4.73898861,,2.075,2.075,0,,0,0,,,,,,t5,10/9/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N4,200,14-Mar,,,,,Grasslands Tama,5.277728376,,2.625,2.625,0,,0,0,,,,,,t5,10/9/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,14-Mar,,,,,Grasslands Tama,5.227143158,,3.14,3.14,0,,0,0,,,,,,t5,10/9/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,14-Mar,,,,,Grasslands Tama,2.442409312,,0.905,0.905,0,,0,0,,,,,,t6,10/17/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,14-Mar,,,,,Grasslands Tama,5.052991161,,0.985,0.985,0,,0,0,,,,,,t6,10/17/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,14-Mar,,,,,Grasslands Tama,6.306604092,,1.255,1.255,0,,0,0,,,,,,t6,10/17/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,14-Mar,,,,,Grasslands Tama,6.901436596,,1.835,1.835,0,,0,0,,,,,,t6,10/17/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N4,200,14-Mar,,,,,Grasslands Tama,6.742827165,,2.095,2.095,0,,0,0,,,,,,t6,10/17/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1995,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,14-Mar,,,,,Grasslands Tama,7.121889041,,2.19,2.19,0,,0,0,,,,,,t6,10/17/95
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,4-Mar,,,,,Grasslands Tama,0.8634659,,2.49,2.49,0,,0,0,,,,,,t1,8/28/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,4-Mar,,,,,Grasslands Tama,1.501145,,3.79,3.79,0,,0,0,,,,,,t1,8/28/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,4-Mar,,,,,Grasslands Tama,1.545105,,4.99,4.99,0,,0,0,,,,,,t1,8/28/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,4-Mar,,,,,Grasslands Tama,1.759949,,5.35,5.35,0,,0,0,,,,,,t1,8/28/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,4-Mar,,,,,Grasslands Tama,1.746202,,5.91,5.91,0,,0,0,,,,,,t1,8/28/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,4-Mar,,,,,Grasslands Tama,1.05546,,2.13,2.13,0,,0,0,,,,,,t2,9/11/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,4-Mar,,,,,Grasslands Tama,1.858205,,2.51,2.51,0,,0,0,,,,,,t2,9/11/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,4-Mar,,,,,Grasslands Tama,2.410726,,3.3,3.3,0,,0,0,,,,,,t2,9/11/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,4-Mar,,,,,Grasslands Tama,2.73408,,4.1,4.1,0,,0,0,,,,,,t2,9/11/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,4-Mar,,,,,Grasslands Tama,3.210944,,5.02,5.02,0,,0,0,,,,,,t2,9/11/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,4-Mar,,,,,Grasslands Tama,1.257253,,1.79,1.79,0,,0,0,,,,,,t3,9/23/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,4-Mar,,,,,Grasslands Tama,2.184459,,1.85,1.85,0,,0,0,,,,,,t3,9/23/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,4-Mar,,,,,Grasslands Tama,3.605167,,2.22,2.22,0,,0,0,,,,,,t3,9/23/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,4-Mar,,,,,Grasslands Tama,3.852096,,2.4,2.4,0,,0,0,,,,,,t3,9/23/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,4-Mar,,,,,Grasslands Tama,4.369763,,3.17,3.17,0,,0,0,,,,,,t3,9/23/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,4-Mar,,,,,Grasslands Tama,2.020002,,1.34,1.34,0,,0,0,,,,,,t4,10/1/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,4-Mar,,,,,Grasslands Tama,3.370601,,1.48,1.48,0,,0,0,,,,,,t4,10/1/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,4-Mar,,,,,Grasslands Tama,4.721371,,1.72,1.72,0,,0,0,,,,,,t4,10/1/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,4-Mar,,,,,Grasslands Tama,4.914248,,2.53,2.53,0,,0,0,,,,,,t4,10/1/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,4-Mar,,,,,Grasslands Tama,5.634992,,2.99,2.99,0,,0,0,,,,,,t4,10/1/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,4-Mar,,,,,Grasslands Tama,2.277303,,1.28,1.28,0,,0,0,,,,,,t5,10/9/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,4-Mar,,,,,Grasslands Tama,4.529179,,1.46,1.46,0,,0,0,,,,,,t5,10/9/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,4-Mar,,,,,Grasslands Tama,6.441374,,1.48,1.48,0,,0,0,,,,,,t5,10/9/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,4-Mar,,,,,Grasslands Tama,6.222854,,1.94,1.94,0,,0,0,,,,,,t5,10/9/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,4-Mar,,,,,Grasslands Tama,6.798893,,2.31,2.31,0,,0,0,,,,,,t5,10/9/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N0,0,4-Mar,,,,,Grasslands Tama,1.950459,,1.19,1.19,0,,0,0,,,,,,t6,10/23/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N1,50,4-Mar,,,,,Grasslands Tama,3.92612,,1.34,1.34,0,,0,0,,,,,,t6,10/23/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N2,100,4-Mar,,,,,Grasslands Tama,6.249561,,1.46,1.46,0,,0,0,,,,,,t6,10/23/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N3,150,4-Mar,,,,,Grasslands Tama,6.382297,,1.83,1.83,0,,0,0,,,,,,t6,10/23/97
1,Agnusdei et al. (2010),10.1007/s10705-010-9348-6,Annual ryegrass,1997,Argentina,Balcarce,Split-plot in randomized complete block,3,N5,250,4-Mar,,,,,Grasslands Tama,7.46793,,2.19,2.19,0,,0,0,,,,,,t6,10/23/97
2,Marino et al. (2004),10.2134/agronj2004.0601,Annual ryegrass,1994,Argentina,Tandil,Split-plot,3,N0,0,1-Mar,,,,,Grasslands Tama,0.396,7.482394,1.889493434,1.889493434,0,,0,0,,,,,,t1,
2,Marino et al. (2004),10.2134/agronj2004.0601,Annual ryegrass,1994,Argentina,Tandil,Split-plot,3,N0,0,1-Mar,,,,,Grasslands Tama,0.484,7.922535,1.636887397,1.636887397,0,,0,0,,,,,,t2,
2,Marino et al. (2004),10.2134/agronj2004.0601,Annual ryegrass,1994,Argentina,Tandil,Split-plot,3,N0,0,1-Mar,,,,,Grasslands Tama,1.346,25.52817,1.896595097,1.896595097,0,,0,0,,,,,,t3,
2,Marino et al. (2004),10.2134/agronj2004.0601,Annual ryegrass,1994,Argentina,Tandil,Split-plot,3,N0,0,1-Mar,,,,,Grasslands Tama,1.458,25.96831,1.781091221,1.781091221,0,,0,0,,,,,,t4,
